"Date","Action_Type","Language","Content_Category","Day_of_Week","Impressions","CTR","Clicks"
2023-01-02,"Instagram Post","English","Partners","Monday",1759,0.0163910234782993,29
2023-01-02,"LinkedIn Post","Spanish","Events","Monday",1368,0.00843822106666606,12
2023-01-03,"Instagram Post","Spanish","Humor","Tuesday",1573,0.0163543819503534,26
2023-01-03,"LinkedIn Post","English","Events","Tuesday",1516,0.00746354229020218,11
2023-01-04,"Instagram Post","Spanish","Partners","Wednesday",1821,0.0133978080809705,24
2023-01-04,"LinkedIn Post","French","Events","Wednesday",1418,0.0057886642640981,8
2023-01-05,"Instagram Post","Spanish","Marketing Automation","Thursday",1717,0.0120705012592546,21
2023-01-05,"LinkedIn Post","Spanish","Platform Improvements","Thursday",1213,0.00960519701426811,12
2023-01-06,"Instagram Post","English","Events","Friday",1498,0.0117188628048228,18
2023-01-06,"LinkedIn Post","Spanish","Marketing Automation","Friday",1198,0.0101405936277585,12
2023-01-09,"Instagram Post","Spanish","Marketing Automation","Monday",1750,0.0147349159877784,26
2023-01-09,"LinkedIn Post","Italian","Partners","Monday",1464,0.0101189609690882,15
2023-01-10,"Instagram Post","Spanish","Marketing Automation","Tuesday",1792,0.0131131478738376,24
2023-01-10,"LinkedIn Post","English","Marketing Automation","Tuesday",1259,0.00883051607031925,11
2023-01-11,"Instagram Post","English","Platform Improvements","Wednesday",2195,0.0174386801003456,38
2023-01-11,"LinkedIn Post","English","Humor","Wednesday",1298,0.0111785766189389,15
2023-01-12,"Instagram Post","Spanish","Marketing Automation","Thursday",1789,0.0138752373130783,25
2023-01-12,"LinkedIn Post","Spanish","Events","Thursday",1347,0.00820506021308918,11
2023-01-13,"Instagram Post","Spanish","Marketing Automation","Friday",2078,0.0114388832147168,24
2023-01-13,"LinkedIn Post","Spanish","Marketing Automation","Friday",1370,0.00921828142255155,13
2023-01-15,"Newsletter","Spanish (Spain)","Monthly Newsletter","Sunday",9198,0.0880031319200415,809
2023-01-15,"Newsletter","Spanish (LatAm)","Monthly Newsletter","Sunday",7101,0.0856730190683738,608
2023-01-15,"Newsletter","English","Monthly Newsletter","Sunday",10252,0.0916403605924408,939
2023-01-16,"Instagram Post","Spanish","Partners","Monday",1815,0.0155319319254676,28
2023-01-16,"LinkedIn Post","French","Platform Improvements","Monday",1288,0.0079855204901287,10
2023-01-17,"Instagram Post","Italian","Marketing Automation","Tuesday",1678,0.0126139988639194,21
2023-01-17,"LinkedIn Post","Italian","Platform Improvements","Tuesday",1316,0.00911750094252361,12
2023-01-18,"Instagram Post","Spanish","Marketing Automation","Wednesday",1781,0.013556492420777,24
2023-01-18,"LinkedIn Post","Spanish","Platform Improvements","Wednesday",1305,0.0110566581703192,14
2023-01-19,"Instagram Post","Spanish","Platform Improvements","Thursday",1867,0.0172934263417727,32
2023-01-19,"LinkedIn Post","Spanish","Humor","Thursday",1311,0.0130937618351359,17
2023-01-20,"Instagram Post","Italian","Platform Improvements","Friday",1906,0.0159593344947227,30
2023-01-20,"LinkedIn Post","English","Humor","Friday",1540,0.0110417707510461,17
2023-01-23,"Instagram Post","French","Humor","Monday",2085,0.0172153467236306,36
2023-01-23,"LinkedIn Post","English","Humor","Monday",1260,0.0120558781036357,15
2023-01-24,"Instagram Post","Spanish","Events","Tuesday",1746,0.00981926680076116,17
2023-01-24,"LinkedIn Post","Spanish","Platform Improvements","Tuesday",1250,0.00866516910529992,11
2023-01-25,"Instagram Post","English","Platform Improvements","Wednesday",1975,0.0147051085605603,29
2023-01-25,"LinkedIn Post","Spanish","Humor","Wednesday",1137,0.0116933072970675,13
2023-01-26,"Instagram Post","Spanish","Events","Thursday",1864,0.0109710258781562,20
2023-01-26,"LinkedIn Post","English","Platform Improvements","Thursday",1242,0.00933845580437496,12
2023-01-27,"Instagram Post","Spanish","Humor","Friday",1638,0.0167794273789712,27
2023-01-27,"LinkedIn Post","English","Events","Friday",1608,0.00676703594481542,11
2023-01-30,"Instagram Post","Spanish","Platform Improvements","Monday",1825,0.0141161524892179,26
2023-01-30,"LinkedIn Post","Spanish","Events","Monday",1554,0.00757036459691411,12
2023-01-31,"Instagram Post","Spanish","Humor","Tuesday",1735,0.0140332796512506,24
2023-01-31,"LinkedIn Post","Portuguese","Marketing Automation","Tuesday",1160,0.00972606180169643,11
2023-02-01,"Instagram Post","French","Platform Improvements","Wednesday",1636,0.0176501380355786,29
2023-02-01,"LinkedIn Post","English","Marketing Automation","Wednesday",1209,0.00811281680144381,10
2023-02-02,"Instagram Post","English","Humor","Thursday",1811,0.0159218253726617,29
2023-02-02,"LinkedIn Post","Spanish","Partners","Thursday",1736,0.00874873287281011,15
2023-02-03,"Instagram Post","Spanish","Marketing Automation","Friday",2060,0.0148238388167677,31
2023-02-03,"LinkedIn Post","English","Marketing Automation","Friday",1418,0.00929662072297334,13
2023-02-06,"Instagram Post","Spanish","Marketing Automation","Monday",1843,0.0157583569422268,29
2023-02-06,"LinkedIn Post","English","Events","Monday",1587,0.00685314654896194,11
2023-02-07,"Instagram Post","English","Marketing Automation","Tuesday",2535,0.0137601482985208,35
2023-02-07,"LinkedIn Post","Spanish","Platform Improvements","Tuesday",1527,0.0104757758874714,16
2023-02-08,"Instagram Post","Spanish","Humor","Wednesday",1986,0.0182679290514315,36
2023-02-08,"LinkedIn Post","Spanish","Marketing Automation","Wednesday",1431,0.0116122434895027,17
2023-02-09,"Instagram Post","English","Humor","Thursday",1705,0.018744344670106,32
2023-02-09,"LinkedIn Post","Spanish","Events","Thursday",1499,0.0073098823113896,11
2023-02-10,"Instagram Post","English","Marketing Automation","Friday",2158,0.0138649647647044,30
2023-02-10,"LinkedIn Post","English","Marketing Automation","Friday",1403,0.00938935315184781,13
2023-02-13,"Instagram Post","Italian","Platform Improvements","Monday",1933,0.0177789585832565,34
2023-02-13,"LinkedIn Post","English","Events","Monday",1468,0.00741822623513363,11
2023-02-14,"Instagram Post","Spanish","Events","Tuesday",1746,0.00999523082030855,17
2023-02-14,"LinkedIn Post","French","Platform Improvements","Tuesday",1524,0.00964438749531351,15
2023-02-15,"Instagram Post","English","Marketing Automation","Wednesday",1690,0.0175439529352246,30
2023-02-15,"LinkedIn Post","Portuguese","Humor","Wednesday",1400,0.0131411770816785,18
2023-02-15,"Newsletter","Spanish (Spain)","Monthly Newsletter","Wednesday",9389,0.0935948658936653,879
2023-02-15,"Newsletter","Spanish (LatAm)","Monthly Newsletter","Wednesday",7368,0.0930274104914017,685
2023-02-15,"Newsletter","English","Monthly Newsletter","Wednesday",12455,0.0956189392825602,1191
2023-02-16,"Instagram Post","Spanish","Humor","Thursday",1965,0.0210046607336934,41
2023-02-16,"LinkedIn Post","English","Platform Improvements","Thursday",1296,0.012876155683034,17
2023-02-17,"Instagram Post","English","Events","Friday",1780,0.0100870110350287,18
2023-02-17,"LinkedIn Post","English","Marketing Automation","Friday",1356,0.0101843790851807,14
2023-02-20,"Instagram Post","Italian","Partners","Monday",2055,0.0145661829676111,30
2023-02-20,"LinkedIn Post","Spanish","Platform Improvements","Monday",1338,0.0102454007449203,14
2023-02-21,"Instagram Post","Italian","Partners","Tuesday",1725,0.0180750968809259,31
2023-02-21,"LinkedIn Post","Spanish","Marketing Automation","Tuesday",1471,0.00889037025321591,13
2023-02-22,"Instagram Post","English","Partners","Wednesday",1667,0.0148453115514897,25
2023-02-22,"LinkedIn Post","Spanish","Platform Improvements","Wednesday",1487,0.0101784828197171,15
2023-02-23,"Instagram Post","English","Partners","Thursday",1824,0.0173877393757378,32
2023-02-23,"LinkedIn Post","English","Humor","Thursday",1415,0.014859014870659,21
2023-02-24,"Instagram Post","Spanish","Partners","Friday",1660,0.0141223175873567,23
2023-02-24,"LinkedIn Post","Spanish","Partners","Friday",1387,0.00951864934301177,13
2023-02-27,"Instagram Post","English","Marketing Automation","Monday",1940,0.0167206952630816,32
2023-02-27,"LinkedIn Post","Spanish","Marketing Automation","Monday",1597,0.0102170375802534,16
2023-02-28,"Instagram Post","Spanish","Partners","Tuesday",1628,0.0143511093647678,23
2023-02-28,"LinkedIn Post","English","Marketing Automation","Tuesday",1449,0.0108626014870344,16
2023-03-01,"Instagram Post","French","Platform Improvements","Wednesday",2454,0.018087056476266,44
2023-03-01,"LinkedIn Post","English","Partners","Wednesday",1532,0.0112576217620744,17
2023-03-02,"Instagram Post","Italian","Marketing Automation","Thursday",2330,0.0170343230101906,40
2023-03-02,"LinkedIn Post","English","Events","Thursday",1730,0.00812338535917977,14
2023-03-03,"Instagram Post","Spanish","Events","Friday",2142,0.0133034176596708,28
2023-03-03,"LinkedIn Post","Spanish","Marketing Automation","Friday",1329,0.0114139660753973,15
2023-03-06,"Instagram Post","Spanish","Humor","Monday",2071,0.0209879515058552,43
2023-03-06,"LinkedIn Post","Spanish","Events","Monday",1631,0.00990624580256171,16
