Date,Region,Product,Sales_Amount,Units_Sold,Customer_Satisfaction,Marketing_Spend
2024-01-15,North,Laptop,45000,50,4.2,8000
2024-01-20,South,Desktop,32000,40,3.8,6000
2024-01-25,East,Laptop,52000,58,4.5,9000
2024-02-10,West,Tablet,28000,70,4.1,5500
2024-02-15,North,Desktop,38000,45,3.9,7000
2024-02-20,South,Laptop,48000,55,4.3,8500
2024-03-05,East,Tablet,31000,78,4.0,6000
2024-03-10,West,Desktop,41000,48,4.1,7500
2024-03-15,North,Laptop,55000,62,4.6,10000
2024-03-20,South,Tablet,29000,72,3.9,5800
